precio_total,margen,codigo_modelo_codificado,total_ventas
"31662,81","0,12300000183284282",43N53P10C17G47O31K11D,146
"22761,63","0,14759999670088292",89X43N3B89X47O31K73U83W10C43N,146
"24049,9","0,14759999670088292",89X43N13F13G47O31K103A41M89X47O,144
"25671,07","0,12300000183284282",43N53P11D7D47O31K13F10C41M10C,142
"23076,03","0,12300000183284282",37L43N89X53P47O31K23I,140
"30204,97","0,14759999670088292",73U53P3B89X47O31K61R41M10C43N,138
"31886,88","0,12300000183284282",43N53P11D3B47O31K83W,134
"25063,82","0,14759999670088292",73U79V7D89X47O31K11D41M101Z47O,134
"25242,74","0,14759999670088292",89X43N17G43N47O31K3B41M89X47O,132
"25877,69","0,12300000183284282",43N59Q73U29J47O37L53P10C41M37L,130
"21076,03","0,12300000183284282",37L31K37L43N47O31K53P7D10C43N,130
"23855,07","0,14759999670088292",59Q41M31K61R47O31K59Q41M89X47O,130
"31516,44","0,14759999670088292",73U41M47O5C47O31K71T41M10C43N,130
"22324,25","0,12300000183284282",43N61R11E53P47O31K53P41M89X47O,128
"14534,71","0,11070000439882278",43N59Q19H11D47O31K17B5C10C43N,128
"28924,65","0,14759999670088292",73U17B19H31K47O31K13H41M10C43N,128
"24233,06","0,12300000183284282",37L43N83W71T47O31K17B,126
"22480,99","0,12300000183284282",37L43N89X73U47O31K13F,126
"14823,97","0,11070000439882278",43N59Q19H13G47O31K59Q5C10C43N,126
"26483,3","0,14759999670088292",73U43N7D83W47O31K101Z41M10C43N,126
"28725,84","0,14759999670088292",89X53P29J59Q47O31K79V83W10C43N,126
"26181,11","0,14759999670088292",89X43N3B101Z47O31K83W83W10C43N,126
"20892,84","0,12300000183284282",43N61R11E47O47O31K31K41M89X47O,124
"31159,24","0,14759999670088292",73U53P3B83W47O31K59Q41M10C43N,124
"28546,92","0,12300000183284282",43N59Q79V5C47O37L37L71T31K89X,122
"23290,46","0,12300000183284282",37L43N83W43N47O37L5C,122
"27012,13","0,14759999670088292",73U79V7D10C47O31K83W41M89X47O,122
"26936,58","0,14759999670088292",89X53P29J59Q47O31K73U83W10C43N,122
"26101,59","0,14759999670088292",73U41M61R11E47O31K13H41M10C43N,122
"28514,53","0,14759999670088292",73U79V7D79V47O31K83W41M89X47O,120
"23457,46","0,14759999670088292",59Q17B73U29J47O31K61R,120
27533,"0,14759999670088292",73U17B19H89X47O31K19I,120
"29390,25","0,14759999670088292",73U17B19H71T47O31K79V41M10C43N,118
"24976,34","0,12300000183284282",37L43N89X31K47O37L31K,116
"25720,66","0,12300000183284282",37L43N89X59Q47O37L59Q,116
"21843,14","0,12300000183284282",37L59Q71T43N47O31K31K,116
"26479,32","0,14759999670088292",59Q41M31K71T47O31K79V41M89X47O,116
"29703,98","0,14759999670088292",73U37L23I13G47O31K17B41M10C43N,116
"32434,23","0,14759999670088292",73U41M47O5C47O31K59Q41M10C43N,116
"28320,28","0,14759999670088292",89X31K13F71T47O37L11D17B53P37L,116
"26070,94","0,14759999670088292",73U17B19H43N47O31K103A41M10C43N,116
"26515,11","0,14759999670088292",89X43N17G47O47O37L12E41M89X47O,116
"14495,23","0,11070000439882278",43N71T7D13F47O31K53P41M89X47O,114
"27365,29","0,12300000183284282",43N59Q73U29J47O37L41M71T31K89X,114
"23544,93","0,12300000183284282",37L43N89X31K47O31K23I,114
"12803,31","0,11070000439882278",43N83W23I73U47O31K13H41M101Z47O,114
"21986,28","0,14759999670088292",89X53P17G13G47O37L47O,114
"29358,05","0,14759999670088292",59Q17B89X13F47O31K53P17G10C43N,112
"31250,7","0,14759999670088292",59Q17B53P17G47O31K47O41M89X47O,112
"24749,7","0,14759999670088292",89X31K13F71T47O31K13F83W10C43N,112
"30157,26","0,14759999670088292",73U41M47O17G47O31K12E41M10C43N,112
"23620,48","0,12300000183284282",43N61R2A10C47O31K71T13H10C43N,110
"32085,69","0,14759999670088292",59Q17B53P17G47O31K43N17G10C43N,110
"21807,36","0,14759999670088292",89X31K3B101Z47O31K3B83W10C43N,110
"27737,19","0,14759999670088292",59Q41M37L31K47O31K83W41M89X47O,110
"16435,59","0,12300000183284282",43N79V23I13F47O31K61R13H10C43N,108
"24216,53","0,12300000183284282",37L43N83W13G47O41M13G,108
"30952,49","0,14759999670088292",73U41M43N13F47O31K47O41M10C43N,108
"25818,55","0,14759999670088292",73U17B19H61R47O31K11D41M10C43N,108
"30139,77","0,14759999670088292",73U71T101Z17G47O31K17B,108
"22061,83","0,14759999670088292",89X43N13F13F47O31K19I41M89X47O,108
"22220,87","0,14759999670088292",89X53P13F11D47O31K11E41M89X47O,108
"20675,21","0,12300000183284282",43N61R2A11D47O31K73U13H10C43N,106
"28427,63","0,14759999670088292",59Q17B89X23I47O31K71T17G10C43N,106
"27230,82","0,14759999670088292",89X43N17G53P47O37L53P41M89X47O,106
"24472,73","0,12300000183284282",43N53P10C11E47O31K73U,104
"29063,82","0,12300000183284282",43N59Q31K89X47O31K83W10C41M37L,104
"23358,05","0,14759999670088292",73U17B19H31K47O31K5C41M10C43N,104
"23457,46","0,14759999670088292",59Q17B83W29J47O31K59Q,104
"34431,61","0,14759999670088292",73U43N11E31K47O31K47O41M89X47O,104
"28761,98","0,12300000183284282",37L43N89X59Q47O37L103A,102
"31828,1","0,12300000183284282",43N53P10C17G47O31K11D10C41M37L,102
"24769,58","0,14759999670088292",59Q10C71T3B47O31K61R17G10C43N,102
"18266,12","0,12300000183284282",37L31K71T10C47O31K101Z7D10C43N,102
"27453,48","0,14759999670088292",73U71T17B3B47O31K73U,102
"28100,83","0,12300000183284282",37L43N89X53P47O41M13G7D97Y47O,100
"26578,73","0,14759999670088292",89X43N3B101Z47O31K61R83W10C43N,100
"24352,09","0,14759999670088292",73U41M61R11E47O31K61R,100
"24117,36","0,12300000183284282",37L59Q59Q13G47O37L59Q,98
"24288,47","0,14759999670088292",89X43N17G43N47O31K12E41M89X47O,98
